democracy,mil_expenditure,mil_expenditure_usd,population,women_parl,gdp_capita,gdp_usd,stability,law_business,mil_exp_cap,log_mil_exp_cap,Source
10.0,1.9536335918401,24046205860.2554,23815995.0,26.6666666666667,56708.96119674,1350580336316.75,0.873180687427521,96.875,1009.6662289463616,6.918365024993493,HIC
10.0,2.0885308793071,26382947050.0183,24190907.0,28.6666666666667,49876.7123761245,1206562910556.58,1.0334244966507,96.875,1090.6142150857881,6.995412810997276,HIC
10.0,2.00423407657625,27691112416.8515,24594202.0,28.6666666666667,53934.1543741253,1326467487376.42,0.876146674156189,96.875,1125.9203456510402,7.027243833326373,HIC
10.0,1.89567007851003,26839820914.4018,24966643.0,28.6666666666667,57206.9906696898,1428266513154.48,0.97081196308136,96.875,1075.0272239003777,6.98103104142432,HIC
10.0,1.01807286299799,2159796003.21024,7976789.0,26.2295081967213,27361.8751106437,218259904401.956,1.11060059070587,78.75,270.76007691945216,5.604919606894135,HIC
10.0,0.98031858008593,1925557398.19421,8011566.0,26.775956284153,24625.6007227434,197289625479.906,0.822056412696838,78.75,240.34719282025637,5.486236530881852,HIC
10.0,0.913640318789259,2381962768.92309,8121423.0,33.879781420765,32294.0488606559,262273631180.054,0.962002456188202,81.875,293.2937699370037,5.684578485926006,HIC
10.0,0.893480466242935,2679282064.65391,8171966.0,33.879781420765,36889.2335135194,301457562038.541,1.08964920043945,81.875,327.8626054799922,5.795640051018157,HIC
10.0,0.850142574026263,2686166243.8442,8227829.0,33.879781420765,38417.4577857677,316092273276.015,1.10395002365112,85.0,326.47327063362644,5.791406435358635,HIC
10.0,0.785813244459197,2640185362.43902,8268641.0,32.2404371584699,40669.3269586152,336280064332.411,1.07445085048676,85.0,319.30100272088487,5.76926118717807,HIC
10.0,0.90045717278703,3499817967.31076,8295487.0,32.7868852459016,46915.3374004507,389185571506.052,1.284419298172,85.0,421.89421396366,6.047122062577468,HIC
10.0,0.870705123070585,3746731607.28018,8321496.0,27.3224043715847,51919.9835754226,432051935642.945,1.33927059173584,85.0,450.24736024390086,6.112015659754968,HIC
10.0,0.833379564692924,3334754939.61878,8343323.0,27.8688524590164,48153.3240199631,401758735822.211,1.19087398052216,91.25,399.6914586213167,5.993191701271449,HIC
10.0,0.821232711530621,3218351224.09923,8363404.0,27.8688524590164,46903.7615854354,392275107258.677,1.15264821052551,91.25,384.8135548754108,5.955354234316353,HIC
10.0,0.790897558452031,3409721208.58269,8391643.0,27.8688524590164,51442.2762464411,431685217367.514,1.19352161884308,91.25,406.3234349438709,6.009607550303041,HIC
10.0,0.778464250647036,3187227448.7533,8429991.0,27.8688524590164,48564.9173350875,409401816050.531,1.34056687355042,91.25,378.08195154102776,5.937752412686843,HIC
10.0,0.750825383084571,3229065841.34293,8479823.0,33.3333333333333,50731.1272541851,430190979705.965,1.36410057544708,91.25,380.79401437305114,5.944881233780205,HIC
10.0,0.747780095379783,3305159256.48245,8546356.0,32.2404371584699,51786.3771747897,442584815286.027,1.27070045471191,94.375,386.7331593116938,5.9603173692931986,HIC
10.0,0.698116413133988,2665409781.52379,8642699.0,30.6010928961749,44195.8175947748,381971148530.543,1.12933051586151,94.375,308.4001631346631,5.734635465400181,HIC
10.0,0.729737691793485,2885947386.10357,8736668.0,30.6010928961749,45307.5878620442,395837353031.51,0.8921759724617,94.375,330.3258617705938,5.803102367746062,HIC
10.0,0.757279033702098,3153118623.81495,8797566.0,34.4262295081967,47429.1584564391,417261151844.981,1.02962338924408,94.375,358.4080669374859,5.884458419666525,HIC
10.0,0.745028039648345,3387982011.96842,8840521.0,34.4262295081967,51466.5565633624,454991174096.094,0.884671747684479,94.375,383.2332972195213,5.951249912949579,HIC
10.0,1.46391926511004,3664288413.2382,10203008.0,12.6666666666667,25338.4432934904,258528339631.029,1.02412986755371,72.5,359.13805156657725,5.886487434515632,HIC
10.0,1.34121027642881,3190805233.09379,10251250.0,23.3333333333333,23098.8865077401,236792460312.471,1.12981116771698,75.625,311.2601129709831,5.743836535898305,HIC
10.0,1.21571220776463,3147146016.65804,10332785.0,23.3333333333333,25006.191397109,258383599375.177,1.26080238819122,75.625,304.5786800613813,5.72220729066168,HIC
10.0,1.21498815616525,3875697772.32025,10376133.0,35.3333333333333,30655.2092679024,318082528506.588,0.85823780298233,84.375,373.5204408347744,5.925646383136039,HIC
10.0,1.14927213880449,4262663512.81717,10421137.0,34.6666666666667,35429.4077933344,369214712443.206,0.709136724472046,84.375,409.0401568290648,6.016255098387727,HIC
